family,scientificName,bioma
Monimiaceae,"Grazielanthus arkeocarpus","Mata Atlântica"
GENTIANACEAE,"Prepusa alata","Mata Atlântica"
ARALIACEAE,"Dendropanax heterophyllus","Mata Atlântica"
MELASTOMATACEAE,"Behuria cordifolia","Mata Atlântica"
DRYOPTERIDACEAE,"Ctenitis flexuosa","Mata Atlântica"
LECYTHIDACEAE,"Couratari pyramidata","Mata Atlântica"
ACANTHACEAE,"Aphelandra bradeana","Mata Atlântica"
BROMELIACEAE,"Aechmea caesia","Mata Atlântica"
BORAGINACEAE,"Varronia leucomalla","Mata Atlântica"
LAURACEAE,"Aniba pedicellata","Mata Atlântica"
LAURACEAE,"Beilschmiedia stricta","Mata Atlântica"
VOCHYSIACEAE,"Callisthene dryadum","Mata Atlântica"
VOCHYSIACEAE,"Callisthene dryadum","Mata Atlântica"
SALICACEAE,"Abatia microphylla","Mata Atlântica"
ARECACEAE,"Lytocaryum weddellianum","Mata Atlântica"
ACANTHACEAE,"Aphelandra neesiana","Mata Atlântica"
DRYOPTERIDACEAE,"Polystichum auritum","Mata Atlântica"
ARALIACEAE,"Dendropanax langsdorfii","Mata Atlântica"
PRIMULACEAE,"Cybianthus barrosoanus","Mata Atlântica"
ARALIACEAE,"Dendropanax trilobus","Mata Atlântica"
ERIOCAULACEAE,"Paepalanthus ovatus","Mata Atlântica"
CACTACEAE,"Pilosocereus ulei","Mata Atlântica"
ARALIACEAE,"Hydrocotyle alpestris","Mata Atlântica"
ANNONACEAE,"Annona ferruginea","Mata Atlântica"
ARACEAE,"Anthurium aduncum","Mata Atlântica"
ARACEAE,"Anthurium binotii","Mata Atlântica"
ARISTOLOCHIACEAE,"Aristolochia raja","Mata Atlântica"
ARISTOLOCHIACEAE,"Aristolochia raja",
PIPERACEAE,"Peperomia arbuscula","Mata Atlântica"
POLYGONACEAE,"Coccoloba rigida","Mata Atlântica"
ARALIACEAE,"Hydrocotyle bradei","Mata Atlântica"
ARALIACEAE,"Hydrocotyle ulei","Mata Atlântica"
POLYGALACEAE,"Polygala revoluta","Mata Atlântica"
ARALIACEAE,"Schefflera succinea","Mata Atlântica"
LORANTHACEAE,"Struthanthus maricensis","Mata Atlântica"
COMMELINACEAE,"Dichorisandra fluminensis","Mata Atlântica"
LORANTHACEAE,"Psittacanthus pluricotyledonarius","Mata Atlântica"
APIACEAE,"Eryngium fluminense","Mata Atlântica"
ANNONACEAE,"Annona parviflora","Mata Atlântica"
BURSERACEAE,"Tetragastris breviacuminata","Mata Atlântica"
COMBRETACEAE,"Terminalia acuminata","Mata Atlântica"
AQUIFOLIACEAE,"Ilex cognata","Mata Atlântica"
ANNONACEAE,"Duguetia microphylla","Mata Atlântica"
AQUIFOLIACEAE,"Ilex friburgensis","Mata Atlântica"
AQUIFOLIACEAE,"Ilex glazioviana","Mata Atlântica"
AQUIFOLIACEAE,"Ilex longipetiolata","Mata Atlântica"
AQUIFOLIACEAE,"Ilex organensis","Mata Atlântica"
AQUIFOLIACEAE,"Ilex schwackeana","Mata Atlântica"
LORANTHACEAE,"Struthanthus pentamerus","Mata Atlântica"
ANNONACEAE,"Duguetia pohliana","Mata Atlântica"
LORANTHACEAE,"Struthanthus armandianus","Mata Atlântica"
LORANTHACEAE,"Struthanthus involucratus","Mata Atlântica"
LORANTHACEAE,"Struthanthus harlingianus","Mata Atlântica"
LORANTHACEAE,"Struthanthus dorothyi","Mata Atlântica"
AQUIFOLIACEAE,"Ilex virgata","Mata Atlântica"
ACANTHACEAE,"Aphelandra rigida","Mata Atlântica"
PRIMULACEAE,"Cybianthus gracillimus","Mata Atlântica"
ANNONACEAE,"Hornschuchia alba","Mata Atlântica"
GERANIACEAE,"Geranium brasiliense","Mata Atlântica"
FABACEAE,"Dahlstedtia glaziovii","Mata Atlântica"
ORCHIDACEAE,"Acianthera bidentata","Mata Atlântica"
ANNONACEAE,"Trigynaea axilliflora","Mata Atlântica"
ACANTHACEAE,"Aphelandra stephanophysa","Mata Atlântica"
ANNONACEAE,"Unonopsis riedeliana","Mata Atlântica"
LAURACEAE,"Endlicheria balsamea","Mata Atlântica"
LAURACEAE,"Urbanodendron macrophyllum","Mata Atlântica"
LAURACEAE,"Beilschmiedia angustifolia","Mata Atlântica"
SYMPLOCACEAE,"Symplocos altissima","Mata Atlântica"
ACANTHACEAE,"Herpetacanthus delicatus","Mata Atlântica"
SYMPLOCACEAE,"Symplocos dasyphylla","Mata Atlântica"
SYMPLOCACEAE,"Symplocos glaziovii","Mata Atlântica"
LAURACEAE,"Nectandra spicata","Mata Atlântica"
SYMPLOCACEAE,"Symplocos neglecta","Mata Atlântica"
APIACEAE,"Eryngium goulartii","Mata Atlântica"
