family,scientificName,habitat
Monimiaceae,"Grazielanthus arkeocarpus","1.6 Subtropical/Tropical Moist Lowland Forest"
GENTIANACEAE,"Prepusa alata","4.7 Subtropical/Tropical High Altitude Grassland"
GENTIANACEAE,"Prepusa alata","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ARALIACEAE,"Dendropanax heterophyllus","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Aphelandra bradeana","1.9 Subtropical/Tropical Moist Montane Forest"
BORAGINACEAE,"Varronia leucomalla","1.6 Subtropical/Tropical Moist Lowland Forest"
LAURACEAE,"Aniba pedicellata","1.9 Subtropical/Tropical Moist Montane Forest"
LAURACEAE,"Beilschmiedia stricta","1.6 Subtropical/Tropical Moist Lowland Forest"
VOCHYSIACEAE,"Callisthene dryadum",
SALICACEAE,"Abatia microphylla","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Aphelandra neesiana","1.9 Subtropical/Tropical Moist Montane Forest"
DRYOPTERIDACEAE,"Polystichum auritum","1 Forest"
ARALIACEAE,"Dendropanax langsdorfii","1.9 Subtropical/Tropical Moist Montane Forest"
PRIMULACEAE,"Cybianthus barrosoanus","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Dendropanax trilobus","1.9 Subtropical/Tropical Moist Montane Forest"
ERIOCAULACEAE,"Paepalanthus ovatus","4.7 Subtropical/Tropical High Altitude Grassland"
ARALIACEAE,"Hydrocotyle alpestris","1.9 Subtropical/Tropical Moist Montane Forest"
ANNONACEAE,"Annona ferruginea","1.6 Subtropical/Tropical Moist Lowland Forest"
ARISTOLOCHIACEAE,"Aristolochia raja","1.6 Subtropical/Tropical Moist Lowland Forest"
ARISTOLOCHIACEAE,"Aristolochia raja",
PIPERACEAE,"Peperomia arbuscula","1.9 Subtropical/Tropical Moist Montane Forest"
POLYGONACEAE,"Coccoloba rigida","1.8 Subtropical/Tropical Swamp Forest"
ARALIACEAE,"Hydrocotyle bradei","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Hydrocotyle ulei","4.7 Subtropical/Tropical High Altitude Grassland"
ARALIACEAE,"Hydrocotyle ulei","4.7 Subtropical/Tropical High Altitude Grassland"
POLYGALACEAE,"Polygala revoluta","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Schefflera succinea","1.9 Subtropical/Tropical Moist Montane Forest"
LORANTHACEAE,"Struthanthus maricensis","1.6 Subtropical/Tropical Moist Lowland Forest"
COMMELINACEAE,"Dichorisandra fluminensis","1.6 Subtropical/Tropical Moist Lowland Forest"
LORANTHACEAE,"Psittacanthus pluricotyledonarius","1.9 Subtropical/Tropical Moist Montane Forest"
ANNONACEAE,"Annona parviflora","1.8 Subtropical/Tropical Swamp Forest"
BURSERACEAE,"Tetragastris breviacuminata","1.9 Subtropical/Tropical Moist Montane Forest"
COMBRETACEAE,"Terminalia acuminata","1.6 Subtropical/Tropical Moist Lowland Forest"
AQUIFOLIACEAE,"Ilex cognata","1.9 Subtropical/Tropical Moist Montane Forest"
ANNONACEAE,"Duguetia microphylla","1.9 Subtropical/Tropical Moist Montane Forest"
AQUIFOLIACEAE,"Ilex friburgensis","1.9 Subtropical/Tropical Moist Montane Forest"
AQUIFOLIACEAE,"Ilex glazioviana","1.9 Subtropical/Tropical Moist Montane Forest"
AQUIFOLIACEAE,"Ilex longipetiolata","1.9 Subtropical/Tropical Moist Montane Forest"
AQUIFOLIACEAE,"Ilex organensis","1.9 Subtropical/Tropical Moist Montane Forest"
AQUIFOLIACEAE,"Ilex schwackeana","1.9 Subtropical/Tropical Moist Montane Forest"
LORANTHACEAE,"Struthanthus pentamerus","1.9 Subtropical/Tropical Moist Montane Forest"
