family,scientificName,habitat
Monimiaceae,"Grazielanthus arkeocarpus","1.6 Subtropical/Tropical Moist Lowland Forest"
GENTIANACEAE,"Prepusa alata","4.7 Subtropical/Tropical High Altitude Grassland"
GENTIANACEAE,"Prepusa alata","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ARALIACEAE,"Dendropanax heterophyllus","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria cordifolia","1.9 Subtropical/Tropical Moist Montane Forest"
ANEMIACEAE,"Anemia candidoi","1 Forest"
DRYOPTERIDACEAE,"Ctenitis flexuosa","1 Forest"
LECYTHIDACEAE,"Couratari pyramidata","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Aphelandra bradeana","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Aechmea caesia","1 Forest"
LAURACEAE,"Aniba pedicellata","1.9 Subtropical/Tropical Moist Montane Forest"
LAURACEAE,"Beilschmiedia stricta","1.6 Subtropical/Tropical Moist Lowland Forest"
VOCHYSIACEAE,"Callisthene dryadum",
SALICACEAE,"Abatia microphylla","1.9 Subtropical/Tropical Moist Montane Forest"
ARECACEAE,"Lytocaryum weddellianum","1.6 Subtropical/Tropical Moist Lowland Forest"
ARECACEAE,"Lytocaryum weddellianum","1.9 Subtropical/Tropical Moist Montane Forest"
DRYOPTERIDACEAE,"Polystichum auritum","1 Forest"
ARALIACEAE,"Dendropanax langsdorfii","1.9 Subtropical/Tropical Moist Montane Forest"
PRIMULACEAE,"Cybianthus barrosoanus","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Dendropanax trilobus","1.9 Subtropical/Tropical Moist Montane Forest"
ERIOCAULACEAE,"Paepalanthus ovatus","4.7 Subtropical/Tropical High Altitude Grassland"
CACTACEAE,"Pilosocereus ulei","1.6 Subtropical/Tropical Moist Lowland Forest"
CACTACEAE,"Rhipsalis flagelliformis","1.6 Subtropical/Tropical Moist Lowland Forest"
AMARYLLIDACEAE,"Griffinia rochae","1 Forest"
ARALIACEAE,"Hydrocotyle alpestris","1.9 Subtropical/Tropical Moist Montane Forest"
ANNONACEAE,"Annona ferruginea","1.6 Subtropical/Tropical Moist Lowland Forest"
ARISTOLOCHIACEAE,"Aristolochia raja","1.6 Subtropical/Tropical Moist Lowland Forest"
ARISTOLOCHIACEAE,"Aristolochia raja",
PIPERACEAE,"Peperomia arbuscula","1.9 Subtropical/Tropical Moist Montane Forest"
POLYGONACEAE,"Coccoloba rigida","1.8 Subtropical/Tropical Swamp Forest"
CACTACEAE,"Rhipsalis mesembryanthemoides","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Hydrocotyle bradei","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Hydrocotyle ulei","4.7 Subtropical/Tropical High Altitude Grassland"
POLYGALACEAE,"Polygala revoluta","1.9 Subtropical/Tropical Moist Montane Forest"
ARALIACEAE,"Schefflera succinea","1.9 Subtropical/Tropical Moist Montane Forest"
LORANTHACEAE,"Struthanthus maricensis","1.6 Subtropical/Tropical Moist Lowland Forest"
COMMELINACEAE,"Dichorisandra fluminensis","1.6 Subtropical/Tropical Moist Lowland Forest"
LORANTHACEAE,"Psittacanthus pluricotyledonarius","1.9 Subtropical/Tropical Moist Montane Forest"
APIACEAE,"Eryngium fluminense","4.7 Subtropical/Tropical High Altitude Grassland"
ANNONACEAE,"Annona parviflora","1.8 Subtropical/Tropical Swamp Forest"
BURSERACEAE,"Tetragastris breviacuminata","1.9 Subtropical/Tropical Moist Montane Forest"
COMBRETACEAE,"Terminalia acuminata","1.6 Subtropical/Tropical Moist Lowland Forest"
AQUIFOLIACEAE,"Ilex cognata","1.9 Subtropical/Tropical Moist Montane Forest"
